"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"229907E","0","0","1","0","0","0","0","20260415","20261230"
"229935E","1","1","1","1","1","0","0","20260413","20261222"
"229941E","1","1","1","1","1","0","0","20260611","20260909"
"229942E","1","1","1","1","1","0","0","20260611","20260909"
"229948E","0","0","0","0","0","1","0","20260418","20261219"
"229950E","0","0","0","0","0","1","0","20260502","20260502"
"229952E","0","0","0","0","0","1","0","20260502","20260905"
"229953E","0","0","0","0","0","1","0","20260418","20261219"
"229954E","0","0","0","0","0","1","0","20260418","20261219"
"229955E","1","0","0","0","0","0","0","20260413","20261221"
"229956E","1","1","1","1","0","0","0","20260413","20261222"
"229957E","1","1","0","1","1","0","0","20260413","20261222"
"229958E","1","0","0","1","0","0","0","20260413","20261221"
"229959E","0","0","0","1","1","0","0","20260416","20261218"
"229960E","0","0","0","0","0","1","0","20260418","20261219"
"229961E","1","1","1","1","1","0","0","20260413","20261222"
"229962E","1","1","1","1","1","0","0","20260413","20261222"
"229963E","1","1","1","1","1","0","0","20260413","20261222"
"229964E","0","0","0","0","0","0","1","20260614","20260906"
"229965E","0","0","0","0","0","0","1","20260419","20261227"
"229966E","0","0","0","0","0","0","1","20260419","20261227"
"229971E","0","0","0","0","0","1","0","20260418","20261219"
"229980E","1","1","1","1","1","1","0","20260611","20260909"
"229982E","1","1","1","1","1","1","0","20260611","20260909"
"229983E","1","1","1","1","1","1","0","20260611","20260909"
"229997E","1","1","1","1","1","0","0","20260611","20260909"
"229998E","1","1","1","1","1","0","0","20260611","20260909"
"230012E","0","0","0","0","0","1","0","20260418","20261219"
"230013E","0","0","0","0","0","1","0","20260502","20260502"
"230015E","0","0","0","0","0","1","0","20260502","20260502"
"230018E","0","0","0","0","0","1","0","20260808","20260829"
"230021E","0","0","0","0","0","1","0","20260418","20261219"
"230024E","1","0","1","0","0","0","0","20260413","20261221"
"230025E","1","0","1","0","1","0","0","20260413","20261221"
"230026E","0","1","1","1","1","0","0","20260414","20261222"
"230027E","0","1","0","1","0","0","0","20260414","20261222"
"230028E","0","0","1","0","0","0","0","20260415","20261216"
"230030E","0","0","0","1","0","0","0","20260416","20261217"
"230031E","0","0","0","0","0","1","0","20260418","20261219"
"230033E","1","1","1","1","1","0","0","20260413","20261222"
"230044E","0","0","0","0","0","1","0","20260418","20261219"
"230045E","0","0","0","0","0","1","0","20260418","20261219"
"230050E","1","1","1","1","1","0","0","20260413","20261222"
"230051E","1","1","1","1","1","0","0","20260413","20261222"
"230052E","1","1","1","1","1","0","0","20260413","20261222"
"230053E","1","0","0","0","0","0","0","20260413","20261228"
"230054E","1","0","0","0","0","0","0","20260706","20260831"
"230056E","0","0","0","1","0","0","0","20260416","20261231"
"230057E","0","0","0","0","1","0","0","20260417","20261218"
"230060U","0","0","0","0","0","1","1","20260418","20261227"
"230061E","1","1","1","1","1","1","0","20260803","20260829"
"230062E","1","1","1","1","1","1","0","20260803","20260829"
"230063E","1","1","1","1","1","1","0","20260611","20260909"
"230077E","1","1","1","1","1","0","0","20260803","20260828"
"230078E","1","1","1","1","1","0","0","20260803","20260828"
"230079E","1","1","1","1","1","0","0","20260803","20260828"
"230080E","1","1","1","1","1","0","0","20260611","20260909"
"230081E","1","1","1","1","1","0","0","20260611","20260909"
"230082E","1","1","1","1","1","0","0","20260611","20260909"
"230097E","0","0","0","0","0","1","0","20260418","20261219"
"230098E","0","0","0","0","0","1","0","20260502","20260502"
"230100E","0","0","0","0","0","1","0","20260613","20260905"
"230101E","0","0","0","0","0","1","0","20260613","20260905"
"230102E","0","0","0","0","0","1","0","20260613","20260905"
"230105E","1","0","0","0","1","0","0","20260413","20261221"
"230106E","0","0","1","0","0","0","0","20260415","20261216"
"230109E","0","0","0","0","0","1","0","20260418","20261219"
"230110E","1","1","1","1","1","0","0","20260413","20261222"
"230114E","0","0","0","0","0","0","1","20260705","20260830"
"230120E","1","1","1","1","1","1","1","20260803","20260830"
"230121E","0","0","0","0","0","0","0","20260501","20261225"
"230122E","0","0","0","0","0","0","0","20260501","20261225"
"230123E","0","0","0","0","0","1","0","20260418","20261219"
"230124E","0","0","0","0","0","1","0","20260418","20261219"
"230127E","0","0","0","0","0","1","0","20260418","20261219"
"230129E","0","0","0","0","0","1","0","20260418","20261219"
"230130E","1","1","1","1","1","0","0","20260413","20261222"
"230131E","1","0","0","0","0","0","0","20260413","20261228"
"230132E","1","0","0","0","0","0","0","20260413","20261228"
"230136E","0","0","0","1","0","0","0","20260416","20261231"
"230145E","1","1","1","1","1","1","0","20260611","20260909"
"230162E","1","1","1","1","1","0","0","20260803","20260828"
"230165E","1","1","1","1","1","0","0","20260611","20260909"
"230180E","0","0","0","0","0","1","0","20260418","20261219"
"230181E","0","0","0","0","0","1","0","20260502","20260905"
