energy_class;tipo_immobile;via;civico;quartiere;citta;lat;lon;dist_metro_m;minuti_metro;dist_tram_m;minuti_tram;dist_bus_m;minuti_bus;distanza_ospedale_m;ospedale_piu_vicino;tempo_piedi_ospedale_min;distanza_universita_m;universita_piu_vicino;tempo_piedi_universita_min;distanza_stazione_m;stazione_piu_vicino;tempo_piedi_stazione_min;distanza_asilo_m;asilo_piu_vicino;tempo_piedi_asilo_min;distanza_scuola_elementare_m;scuola_elementare_piu_vicino;tempo_piedi_scuola_elementare_min;distanza_scuola_media_m;scuola_media_piu_vicino;tempo_piedi_scuola_media_min;distanza_scuola_superiore_m;scuola_superiore_piu_vicino;tempo_piedi_scuola_superiore_min;data_aggiornamento;numero_locali;size_m2;Bathrooms;floor;price;Balcony;coefficient;elevator_final;esposizione;infissi_vetro;infissi_materiale
C;Bilocale;Strada delle Cacce;150;Mirafiori Sud - Onorato Vigliani;Torino;45,0114258;7,6363868;2036,0;25,5;907,4;11,3;38,8;0,5;3861;Centro Traumatologico Ortopedico;51,5;1689;Università di Torino - Incubatore d'impresa;22,5;2279;544;30,4;550;I.C. SALVEMINI - INF. C. MIR.;7,3;550;I.C. SALVEMINI-PRIM. C. MIR;7,3;1366;TORINO - PIERO CALAMANDREI;18,2;977;ISTITUTO TECNICO PRIMO LEVI;13,0;2026-02-25;2,0;70,0;1,0;3,0;129000,0;1,0;100,0;1,0;doppia;;
D;Trilocale;via sapri;23;Mirafiori Sud - Onorato Vigliani;Torino;45,0127691;7,6554698;623,4;7,8;2012,2;25,2;172,4;2,2;2733;Centro Traumatologico Ortopedico;36,4;2020;SAA - Scuola di Amministrazione Aziendale;26,9;1545;460;20,6;513;SCUOLA MATERNA;6,8;383;IC CAIROLI V. RISMONDO;5,1;437;I.C. CAIROLI-VIA TORRAZZA P.TE;5,8;1364;MAGAROTTO;18,2;2026-02-23;3,0;82,0;1,0;3,0;145000,0;1,0;100,0;1,0;doppia;triplo vetro;legno
A;Appartamento;via Luigi Capuana;8;Mirafiori Sud - Onorato Vigliani;Torino;45,013191;7,6354275;2063,2;25,8;701,3;8,8;180,9;2,3;3800;Centro Traumatologico Ortopedico;50,7;1549;Università di Torino - Incubatore d'impresa;20,7;2289;460;30,5;468;PAJETTA;6,2;489;I.C. SALVEMINI-PRIM. C. MIR;6,5;1272;TORINO - PIERO CALAMANDREI;17,0;769;ISTITUTO TECNICO PRIMO LEVI;10,3;2026-03-25;5,0;120,0;1,0;4,0;139000,0;1,0;;1,0;doppia;doppio vetro;pvc
F;Trilocale;via Morandi;13;Mirafiori Sud - Onorato Vigliani;Torino;45,0136785;7,634056;2160,3;27,0;599,0;7,5;192,0;2,4;3857;Centro Traumatologico Ortopedico;51,4;1430;Università di Torino - Incubatore d'impresa;19,1;2338;460;31,2;409;I.C. SALVEMINI - INF. C. MIR.;5,5;409;I.C. SALVEMINI-PRIM. C. MIR;5,5;1318;TORINO - PIERO CALAMANDREI;17,6;672;ISTITUTO TECNICO PRIMO LEVI;9,0;2026-03-05;3,0;85,0;1,0;5,0;145000,0;1,0;;1,0;;;
E;Bilocale;corso Unione Sovietica;595;Mirafiori Sud - Onorato Vigliani;Torino;45,0139327;7,6259653;2787,4;34,8;66,9;0,8;62,1;0,8;4161;Gruppo LARC Mombarcaro;55,5;827;Università di Torino - Incubatore d'impresa;11,0;2815;544;37,5;302;MARGHERITA MIRAFIORI;4,0;351;I.C. SALVEMINI-PRIM. C. MIR;4,7;1111;I.C. SALVEMINI - COLOMBO - TO;14,8;697;ISTITUTO TECNICO PRIMO LEVI;9,3;2026-03-27;2,0;50,0;1,0;0,5;109000,0;;100,0;1,0;;;
F;Bilocale;via via Camillo Riccio;7;Mirafiori Sud - Strada del Drosso;Torino;45,0140646;7,6242326;2921,4;36,5;80,2;1,0;63,8;0,8;4184;Gruppo LARC Mombarcaro;55,8;701;Università di Torino - Incubatore d'impresa;9,3;2892;544;38,6;421;MARGHERITA MIRAFIORI;5,6;473;I.C. SALVEMINI-PRIM. C. MIR;6,3;995;I.C. SALVEMINI - COLOMBO - TO;13,3;768;ISTITUTO TECNICO PRIMO LEVI;10,2;2026-03-07;2,0;51,0;1,0;6,0;119000,0;1,0;;1,0;;;
A;Trilocale;via Candiolo;24/8;Mirafiori Sud - Onorato Vigliani;Torino;45,0144264;7,6561399;468,5;5,9;1989,1;24,9;122,7;1,5;2550;Centro Traumatologico Ortopedico;34,0;1843;SAA - Scuola di Amministrazione Aziendale;24,6;1357;460;18,1;527;SCUOLA MATERNA;7,0;248;IC CAIROLI - CAIROLI;3,3;248;I.C. CAIROLI-VIA TORRAZZA P.TE;3,3;1189;MAGAROTTO;15,9;2026-02-23;3,0;86,0;1,0;5,0;135000,0;1,0;100,0;1,0;doppia;vetro;legno
E;Trilocale;Strada del Drosso;42;Mirafiori Sud - Strada del Drosso;Torino;45,0144904;7,6199012;3256,6;40,7;403,4;5,0;31,7;0,4;4250;Gruppo LARC Mombarcaro;56,7;412;Università di Torino - Incubatore d'impresa;5,5;3112;544;41,5;741;MIRAFIORI NORD;9,9;742;I.C. SALVEMINI - ELSA MORANTE;9,9;725;I.C. SALVEMINI - COLOMBO - TO;9,7;1001;ISTITUTO TECNICO PRIMO LEVI;13,3;2026-03-23;3,0;78,0;1,0;2,0;98000,0;1,0;100,0;1,0;doppia;vetro;legno
C;Trilocale;via Monteponi;11;Mirafiori Sud - Strada del Drosso;Torino;45,0147489;7,6245024;2893,8;36,2;128,2;1,6;132,5;1,7;4105;Gruppo LARC Mombarcaro;54,7;683;Università di Torino - Incubatore d'impresa;9,1;2913;460;38,8;449;MARGHERITA MIRAFIORI;6,0;497;I.C. SALVEMINI-PRIM. C. MIR;6,6;965;I.C. SALVEMINI - COLOMBO - TO;12,9;698;ISTITUTO TECNICO PRIMO LEVI;9,3;2026-03-09;3,0;70,0;1,0;0,0;109000,0;;100,0;0,0;esterna;doppio vetro;pvc
G;Bilocale;via Candiolo;43;Mirafiori Sud - Onorato Vigliani;Torino;45,0147887;7,6537233;623,8;7,8;1749,8;21,9;71,5;0,9;2630;Centro Traumatologico Ortopedico;35,1;1942;SAA - Scuola di Amministrazione Aziendale;25,9;1345;460;17,9;338;SCUOLA MATERNA;4,5;287;IC CAIROLI - CAIROLI;3,8;287;I.C. CAIROLI-VIA TORRAZZA P.TE;3,8;1132;MAGAROTTO;15,1;2026-03-11;2,0;65,0;1,0;5,0;48000,0;1,0;100,0;0,0;;vetro;legno
